uuid;style;artist;title_music;lastfm_music_url;lastfm_artist_url;videoID_youtube;chroma_stft;mfcc;spec_cent;spec_bw;zcr;spec_rolloff
8f8fb047;country;Taylor Swift;White Horse;https://www.last.fm/music/taylor%2bswift;https://www.last.fm/music/taylor%2bswift/_/white%2bhorse;D1Xr-JFLxik;0.33225371453034264;-5.161129668797448;2197.3930141703663;2509.5712105517528;0.08567523458981227;4735.870433665231
b4a7a70a;country;Rednex;Cotton Eye Joe;https://www.last.fm/music/rednex;https://www.last.fm/music/rednex/_/cotton%2beye%2bjoe;mOYZaiDZ7BM;0.45228058283971295;1.5251159503490213;2491.132321834977;2651.838644553925;0.11227016492328627;5444.867091584481
58957b9a;country;Johnny Cash;Man in Black;https://www.last.fm/music/johnny%2bcash;https://www.last.fm/music/johnny%2bcash/_/man%2bin%2bblack;dY8_vZXo8oY;0.3819442814244234;0.5196706393553661;2132.4984652675253;2166.2389543504405;0.10117781778721516;4313.949104024892
8a89bc89;country;Charlie Daniels Band;The Devil Went Down to Georgia;https://www.last.fm/music/charlie%2bdaniels%2bband;https://www.last.fm/music/charlie%2bdaniels%2bband/_/the%2bdevil%2bwent%2bdown%2bto%2bgeorgia;wBjPAqmnvGA;0.37506865183123056;-2.4320926049375533;1525.2542521776102;1654.1496140899899;0.07773399867533719;2973.3005385205925
b54e7fcd;country;Rascal Flatts;What Hurts the Most;https://www.last.fm/music/rascal%2bflatts;https://www.last.fm/music/rascal%2bflatts/_/what%2bhurts%2bthe%2bmost;7qH4qyi1-Ys;0.4099424726755434;-6.057393272007553;2329.425216831385;2461.2306543174986;0.10730594005817902;4960.653745651654
9dc68bd5;rap;Kanye West;Stronger;https://www.last.fm/music/kanye%2bwest;https://www.last.fm/music/kanye%2bwest/_/stronger;PsO6ZnUZI0g;0.4633814583129714;3.274475362476955;2339.325912466701;2539.472868834418;0.08757523943070818;5089.01836688702
77164616;rap;Gorillaz;Clint Eastwood;https://www.last.fm/music/gorillaz;https://www.last.fm/music/gorillaz/_/clint%2beastwood;1V_xRb0x9aw;0.4345366534078293;0.2870342091813621;2496.0875996855602;2290.730586786719;0.12730249392548595;4988.880401677241
f1fae01b;rap;Lil' Wayne;Lollipop;https://www.last.fm/music/lil%2527%2bwayne;https://www.last.fm/music/lil%2527%2bwayne/_/lollipop;2IH8tNQAzSs;0.4513506602980839;-2.1499785249152774;2400.9168280949216;2568.972347021492;0.08982984540197175;5250.291126108147
55fc39be;rap;Drake;Best I Ever Had;https://www.last.fm/music/drake;https://www.last.fm/music/drake/_/best%2bi%2bever%2bhad;2NKmLkAU3NM;0.4529169389255063;4.636963498613208;2591.013292342514;2617.6516656337844;0.1159504123361634;5669.614210748187
daae14e0;rap;Kanye West;Heartless;https://www.last.fm/music/kanye%2bwest;https://www.last.fm/music/kanye%2bwest/_/heartless;Co0tTeuUVhU;0.4681169528083442;-2.0693056784301325;1652.5179013361285;2145.586368628516;0.045656120545107835;3507.737267186678
b16f8bcf;rap;50 Cent;In Da Club;https://www.last.fm/music/50%2bcent;https://www.last.fm/music/50%2bcent/_/in%2bda%2bclub;5qm8PH4xAss;0.4475648581542536;-4.154061736357884;2297.198922497732;2339.885647636352;0.1012905872444238;4649.921108089858
1ba1e950;rap;Eminem;Lose Yourself;https://www.last.fm/music/eminem;https://www.last.fm/music/eminem/_/lose%2byourself;_Yhyp-_hX2s;0.4649286512451477;1.0869799143257812;2066.8766697265614;2121.4137259886443;0.09596175270519038;4191.001755286908
413825cf;rap;OutKast;Ms. Jackson;https://www.last.fm/music/outkast;https://www.last.fm/music/outkast/_/ms.%2bjackson;Qc89T_KPNWc;0.4232694002775574;2.2412639770188494;2337.383680688423;2500.6778833604903;0.10386159038502787;5050.186470650338
a4291531;rap;T.I.;Whatever You Like;https://www.last.fm/music/t.i.;https://www.last.fm/music/t.i./_/whatever%2byou%2blike;nQJACVmankY;0.4296310481163895;-6.273117358542075;2526.189341960806;2703.514166079649;0.09500601463107912;5711.390207606103
ab0b6167;rap;Dr. Dre;Still D.R.E.;https://www.last.fm/music/dr.%2bdre;https://www.last.fm/music/dr.%2bdre/_/still%2bd.r.e.;_CL6n0FJZpk;0.36765560225242455;-2.2673898059523867;2267.3971084387244;2379.585367415186;0.09708534312480073;4769.381367972113
c2b73547;rap;Jay-Z;99 Problems;https://www.last.fm/music/jay-z;https://www.last.fm/music/jay-z/_/99%2bproblems;6uikJTnmtgw;0.5027537002800511;3.0030913031090503;2321.39560717721;2394.4903797896955;0.10242293098147397;4862.0685989541025
